target,held_out,n,scaffolds,tie_frac,coll_r3,S_rf,S_ridge,spearman,p_primary,p_secondary,q14,q11,Rt
BACE1,False,112,59,0.009,0.054,0.241,0.298,0.53,0.011,0.001,0.022,,4.0
HDAC6,True,83,53,0.048,0.012,0.237,0.216,0.32,0.0015,0.001,0.0035,0.0033,0.67
JAK1,True,207,119,0.126,0.0,0.172,0.14,0.43,0.0005,0.001,0.0017,0.0014,1.33
JAK2,True,199,117,0.161,0.0,0.16,0.178,0.4,0.0005,0.001,0.0017,0.0014,1.07
ERK2,True,102,64,0.02,0.0,0.149,0.215,0.38,0.0005,0.001,0.0017,0.0014,3.18
BTK,False,266,114,0.056,0.0,0.142,0.124,0.48,0.001,0.001,0.0028,,1.34
ROR-γ,True,201,119,0.01,0.09,0.087,0.085,0.28,0.0005,0.001,0.0017,0.0014,1.67
EGFR,True,82,64,0.122,0.0,0.038,-0.008,0.17,0.032,0.015,0.0498,0.0503,0.82
TYK2,True,95,51,0.295,0.0,0.021,0.037,0.22,0.063,0.1009,0.0801,0.077,1.07
IRAK4,True,172,82,0.076,0.0,0.015,0.026,0.22,0.063,0.0609,0.0801,0.077,1.02
hERG,True,129,95,0.054,0.0,-0.007,-0.116,0.09,0.0305,0.034,0.0498,0.0503,0.47
PI3Kδ,True,98,57,0.102,0.0,-0.026,-0.007,0.32,0.3198,0.2338,0.3444,0.3518,0.71
JAK3,False,139,78,0.345,0.0,-0.039,-0.013,0.09,0.1194,0.3706,0.1393,,0.42
SYK,True,82,52,0.098,0.0,-0.041,-0.108,0.13,0.4698,0.5904,0.4698,0.4698,0.73
